Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.5914692,46.5433147","24.5601699,46.7762684",1 PM,35.2 km,39.0,42.666666666666664
"24.5914692,46.5433147","24.5601699,46.7762684",1 PM,35.5 km,44.0,42.0
"24.5914692,46.5433147","24.5601699,46.7762684",2 PM,35.2 km,39.0,40.0
"24.5914692,46.5433147","24.5601699,46.7762684",2 PM,35.4 km,40.0,38.5
"24.5914692,46.5433147","24.5601699,46.7762684",3 PM,35.2 km,39.0,41.0
"24.5914692,46.5433147","24.5601699,46.7762684",3 PM,35.3 km,40.0,40.0
"24.5914692,46.5433147","24.5601699,46.7762684",3 PM,35.4 km,40.0,38.5
"24.5914692,46.5433147","24.5601699,46.7762684",4 PM,35.2 km,39.0,44.0
"24.5914692,46.5433147","24.5601699,46.7762684",4 PM,35.4 km,39.666666666666664,43.333333333333336
"24.5914692,46.5433147","24.5601699,46.7762684",5 PM,35.2 km,39.0,45.0
"24.5914692,46.5433147","24.5601699,46.7762684",5 PM,35.4 km,40.0,48.0
"24.5914692,46.5433147","24.5601699,46.7762684",5 PM,35.7 km,39.0,43.0
"24.5914692,46.5433147","24.5601699,46.7762684",5 PM,35.8 km,39.5,42.5
"24.5914692,46.5433147","24.5601699,46.7762684",6 AM,31.4 km,43.0,50.0
"24.5914692,46.5433147","24.5601699,46.7762684",6 AM,31.6 km,46.0,52.0
"24.5914692,46.5433147","24.5601699,46.7762684",6 AM,31.8 km,44.0,45.0
"24.5914692,46.5433147","24.5601699,46.7762684",6 AM,32.0 km,44.0,50.0
"24.5914692,46.5433147","24.5601699,46.7762684",6 AM,32.4 km,50.0,50.0
"24.5914692,46.5433147","24.5601699,46.7762684",6 PM,35.2 km,39.0,43.6
"24.5914692,46.5433147","24.5601699,46.7762684",6 PM,35.4 km,40.0,45.0
"24.5914692,46.5433147","24.5601699,46.7762684",6 PM,35.6 km,39.0,43.0
"24.5914692,46.5433147","24.5601699,46.7762684",6 PM,35.8 km,39.6,41.0
"24.5914692,46.5433147","24.5601699,46.7762684",7 AM,31.6 km,44.0,50.0
"24.5914692,46.5433147","24.5601699,46.7762684",7 AM,31.8 km,44.0,41.0
"24.5914692,46.5433147","24.5601699,46.7762684",7 AM,32.0 km,43.0,37.0
"24.5914692,46.5433147","24.5601699,46.7762684",7 AM,32.5 km,44.0,45.0
"24.5914692,46.5433147","24.5601699,46.7762684",7 AM,34.6 km,50.0,44.0
"24.5914692,46.5433147","24.5601699,46.7762684",7 PM,35.8 km,39.5,42.5
"24.5914692,46.5433147","24.5601699,46.7762684",8 AM,32.0 km,43.0,36.5
"24.5914692,46.5433147","24.5601699,46.7762684",8 AM,35.2 km,39.0,36.25
"24.5914692,46.5433147","24.5601699,46.7762684",9 AM,35.2 km,39.5,37.5
"24.5914692,46.5433147","24.5601699,46.7762684",9 AM,35.4 km,39.25,36.75
"24.5914692,46.5433147","24.7674375,46.6430625",1 PM,30.9 km,28.0,29.6
"24.5914692,46.5433147","24.7674375,46.6430625",2 PM,30.9 km,28.0,32.75
"24.5914692,46.5433147","24.7674375,46.6430625",3 PM,29.9 km,40.0,38.0
"24.5914692,46.5433147","24.7674375,46.6430625",3 PM,30.9 km,29.5,36.5
"24.5914692,46.5433147","24.7674375,46.6430625",3 PM,31.7 km,30.0,34.0
"24.5914692,46.5433147","24.7674375,46.6430625",4 PM,29.7 km,30.0,37.0
"24.5914692,46.5433147","24.7674375,46.6430625",4 PM,31.4 km,30.5,40.0
"24.5914692,46.5433147","24.7674375,46.6430625",4 PM,33.0 km,32.0,38.0
"24.5914692,46.5433147","24.7674375,46.6430625",4 PM,33.6 km,35.0,38.5
"24.5914692,46.5433147","24.7674375,46.6430625",4 PM,36.2 km,36.0,38.0
"24.5914692,46.5433147","24.7674375,46.6430625",5 PM,29.5 km,33.0,39.0
"24.5914692,46.5433147","24.7674375,46.6430625",5 PM,29.7 km,30.0,36.5
"24.5914692,46.5433147","24.7674375,46.6430625",5 PM,29.8 km,33.5,36.0
"24.5914692,46.5433147","24.7674375,46.6430625",5 PM,29.9 km,33.0,36.5
"24.5914692,46.5433147","24.7674375,46.6430625",5 PM,34.0 km,35.0,35.5
"24.5914692,46.5433147","24.7674375,46.6430625",6 AM,29.3 km,30.0,69.0
"24.5914692,46.5433147","24.7674375,46.6430625",6 AM,32.2 km,45.0,68.0
"24.5914692,46.5433147","24.7674375,46.6430625",6 AM,33.1 km,40.0,55.0
"24.5914692,46.5433147","24.7674375,46.6430625",6 AM,34.5 km,42.0,61.0
"24.5914692,46.5433147","24.7674375,46.6430625",6 AM,37.7 km,42.0,70.0
"24.5914692,46.5433147","24.7674375,46.6430625",6 PM,29.3 km,30.0,34.666666666666664
"24.5914692,46.5433147","24.7674375,46.6430625",6 PM,29.7 km,30.0,31.0
"24.5914692,46.5433147","24.7674375,46.6430625",6 PM,29.9 km,32.0,35.0
"24.5914692,46.5433147","24.7674375,46.6430625",6 PM,30.2 km,31.0,34.0
"24.5914692,46.5433147","24.7674375,46.6430625",6 PM,30.9 km,28.333333333333332,33.333333333333336
"24.5914692,46.5433147","24.7674375,46.6430625",6 PM,31.3 km,29.0,28.0
"24.5914692,46.5433147","24.7674375,46.6430625",6 PM,32.9 km,30.0,31.0
"24.5914692,46.5433147","24.7674375,46.6430625",7 AM,29.3 km,30.0,69.0
"24.5914692,46.5433147","24.7674375,46.6430625",7 AM,33.0 km,47.0,67.0
"24.5914692,46.5433147","24.7674375,46.6430625",7 AM,34.6 km,37.0,55.0
"24.5914692,46.5433147","24.7674375,46.6430625",7 AM,37.7 km,43.0,66.0
"24.5914692,46.5433147","24.7674375,46.6430625",7 PM,31.3 km,29.0,30.0
"24.5914692,46.5433147","24.7674375,46.6430625",8 AM,28.5 km,35.0,52.0
"24.5914692,46.5433147","24.7674375,46.6430625",8 AM,28.9 km,35.0,50.5
"24.5914692,46.5433147","24.7674375,46.6430625",8 AM,30.9 km,29.0,47.666666666666664
"24.5914692,46.5433147","24.7674375,46.6430625",9 AM,28.5 km,35.0,39.0
"24.5914692,46.5433147","24.7674375,46.6430625",9 AM,29.1 km,37.0,36.0
"24.5914692,46.5433147","24.7674375,46.6430625",9 AM,30.9 km,28.5,37.0
"24.5914692,46.5433147","24.8296182,46.616385",1 PM,39.2 km,34.0,34.8
"24.5914692,46.5433147","24.8296182,46.616385",2 PM,39.2 km,34.0,36.75
"24.5914692,46.5433147","24.8296182,46.616385",3 PM,39.2 km,34.0,42.333333333333336
"24.5914692,46.5433147","24.8296182,46.616385",3 PM,41.7 km,36.0,45.0
"24.5914692,46.5433147","24.8296182,46.616385",4 PM,37.8 km,34.0,47.5
"24.5914692,46.5433147","24.8296182,46.616385",4 PM,39.2 km,34.0,56.5
"24.5914692,46.5433147","24.8296182,46.616385",4 PM,40.9 km,40.0,47.0
"24.5914692,46.5433147","24.8296182,46.616385",4 PM,41.7 km,36.0,54.5
"24.5914692,46.5433147","24.8296182,46.616385",5 PM,37.7 km,35.0,44.5
"24.5914692,46.5433147","24.8296182,46.616385",5 PM,37.8 km,34.0,48.5
"24.5914692,46.5433147","24.8296182,46.616385",5 PM,38.0 km,35.0,43.5
