Origin,Destination,Start Address,End Address,Distance,Duration,Request Time,Duration with Traffic,Hours,Minutes,Duration in min,Traffic Duration in min
"24.8296182,46.616385","24.961072,46.6987871","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","XM6W+9XV, King Khalid International Airport, Riyadh 13449, Saudi Arabia",27.1 km,28 mins,16:50,26 mins,0,26,28,26
"24.8296182,46.616385","24.7012889,46.8298925","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","3313 طريق الأمير سعد بن عبدالرحمن الأول، 8613, السعادة، الرياض 14255, Saudi Arabia",44.8 km,51 mins,16:50,1 hour 7 mins,60,7,51,67
"24.8296182,46.616385","24.7930073,46.8364015","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","Al Cheikh Issa Ibn Salman Al Khalifah, Al Maizilah, Riyadh 13235, Saudi Arabia",52.4 km,49 mins,16:50,51 mins,0,51,49,51
"24.8296182,46.616385","24.7102105,46.6283024","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","PJ6H+38M, Ash Shaikh Hasan Ibn Abdullah Al Ash Shaikh, King Saud University, Riyadh 12371, Saudi Arabia",27.0 km,27 mins,16:50,30 mins,0,30,27,30
"24.8296182,46.616385","24.7406772,46.6947625","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","3832, 6524 طريق الملك عبدالله الفرعي، حي الملك سلمان، الرياض 12462, Saudi Arabia",24.9 km,28 mins,16:50,44 mins,0,44,28,44
"24.8296182,46.616385","24.6459853,46.7146782","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","3227 الملك سعود، 8561, Al Futah, Riyadh 12632, Saudi Arabia",33.2 km,39 mins,16:50,1 hour 14 mins,60,14,39,74
"24.8296182,46.616385","24.7674375,46.6430625","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia",16.7 km,22 mins,16:50,27 mins,0,27,22,27
"24.8296182,46.616385","24.7221189,46.8611355","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","RQNB5135، 5135 احمد علي الرفاعي، 7005، حي النسيم الشرقي، الرياض 14244, Saudi Arabia",42.4 km,47 mins,16:50,1 hour 3 mins,60,3,47,63
"24.8296182,46.616385","24.5914692,46.5433147","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","HGRV+JF2, Tuwaiq, Riyadh 13785, Saudi Arabia",41.7 km,39 mins,16:50,57 mins,0,57,39,57
"24.961072,46.6987871","24.7012889,46.8298925","XM6W+9XV, King Khalid International Airport, Riyadh 13449, Saudi Arabia","3313 طريق الأمير سعد بن عبدالرحمن الأول، 8613, السعادة، الرياض 14255, Saudi Arabia",48.9 km,48 mins,16:50,58 mins,0,58,48,58
"24.961072,46.6987871","24.7674375,46.6430625","XM6W+9XV, King Khalid International Airport, Riyadh 13449, Saudi Arabia","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia",31.2 km,24 mins,16:50,32 mins,0,32,24,32
"24.7674375,46.6430625","24.961072,46.6987871","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia","XM6W+9XV, King Khalid International Airport, Riyadh 13449, Saudi Arabia",32.5 km,34 mins,16:50,46 mins,0,46,34,46
"24.7674375,46.6430625","24.7930073,46.8364015","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia","Al Cheikh Issa Ibn Salman Al Khalifah, Al Maizilah, Riyadh 13235, Saudi Arabia",33.3 km,28 mins,16:50,1 hour 0 mins,60,0,28,60
"24.7674375,46.6430625","24.7102105,46.6283024","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia","PJ6H+38M, Ash Shaikh Hasan Ibn Abdullah Al Ash Shaikh, King Saud University, Riyadh 12371, Saudi Arabia",15.3 km,19 mins,16:50,23 mins,0,23,19,23
"24.7674375,46.6430625","24.7221189,46.8611355","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia","RQNB5135، 5135 احمد علي الرفاعي، 7005، حي النسيم الشرقي، الرياض 14244, Saudi Arabia",35.3 km,32 mins,16:50,1 hour 11 mins,60,11,32,71
"24.7674375,46.6430625","24.5914692,46.5433147","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia","HGRV+JF2, Tuwaiq, Riyadh 13785, Saudi Arabia",30.3 km,27 mins,16:50,45 mins,0,45,27,45
"24.7406772,46.6947625","24.7930073,46.8364015","3832, 6524 طريق الملك عبدالله الفرعي، حي الملك سلمان، الرياض 12462, Saudi Arabia","Al Cheikh Issa Ibn Salman Al Khalifah, Al Maizilah, Riyadh 13235, Saudi Arabia",19.8 km,21 mins,16:50,36 mins,0,36,21,36
"24.7406772,46.6947625","24.7102105,46.6283024","3832, 6524 طريق الملك عبدالله الفرعي، حي الملك سلمان، الرياض 12462, Saudi Arabia","PJ6H+38M, Ash Shaikh Hasan Ibn Abdullah Al Ash Shaikh, King Saud University, Riyadh 12371, Saudi Arabia",15.1 km,15 mins,16:50,29 mins,0,29,15,29
