Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.5601699,46.7762684","24.8296182,46.616385",1 PM,41.1 km,55.0,59.0
"24.5601699,46.7762684","24.8296182,46.616385",1 PM,59.7 km,53.0,55.0
"24.5601699,46.7762684","24.8296182,46.616385",1 PM,60.4 km,57.0,55.75
"24.5601699,46.7762684","24.8296182,46.616385",10 AM,41.5 km,49.0,63.333333333333336
"24.5601699,46.7762684","24.8296182,46.616385",10 AM,59.7 km,53.0,55.0
"24.5601699,46.7762684","24.8296182,46.616385",2 PM,41.1 km,55.0,62.0
"24.5601699,46.7762684","24.8296182,46.616385",2 PM,50.2 km,51.0,65.0
"24.5601699,46.7762684","24.8296182,46.616385",2 PM,59.7 km,53.0,57.0
"24.5601699,46.7762684","24.8296182,46.616385",2 PM,59.9 km,54.0,58.0
"24.5601699,46.7762684","24.8296182,46.616385",3 PM,41.1 km,55.0,70.0
"24.5601699,46.7762684","24.8296182,46.616385",3 PM,59.7 km,54.0,57.5
"24.5601699,46.7762684","24.8296182,46.616385",4 PM,41.1 km,55.0,74.0
"24.5601699,46.7762684","24.8296182,46.616385",4 PM,50.2 km,51.0,72.0
"24.5601699,46.7762684","24.8296182,46.616385",4 PM,59.7 km,53.0,63.0
"24.5601699,46.7762684","24.8296182,46.616385",4 PM,61.4 km,57.0,70.0
"24.5601699,46.7762684","24.8296182,46.616385",5 PM,41.1 km,55.0,65.0
"24.5601699,46.7762684","24.8296182,46.616385",5 PM,41.5 km,49.0,71.5
"24.5601699,46.7762684","24.8296182,46.616385",5 PM,42.6 km,53.0,69.0
"24.5601699,46.7762684","24.8296182,46.616385",5 PM,42.7 km,53.0,71.5
"24.5601699,46.7762684","24.8296182,46.616385",5 PM,60.4 km,57.0,64.0
"24.5601699,46.7762684","24.8296182,46.616385",5 PM,61.4 km,57.0,67.0
"24.5601699,46.7762684","24.8296182,46.616385",6 AM,41.1 km,55.0,64.2
"24.5601699,46.7762684","24.8296182,46.616385",6 AM,41.2 km,55.0,51.0
"24.5601699,46.7762684","24.8296182,46.616385",6 PM,41.1 km,55.0,64.0
"24.5601699,46.7762684","24.8296182,46.616385",6 PM,41.5 km,49.0,60.0
"24.5601699,46.7762684","24.8296182,46.616385",6 PM,42.6 km,53.0,56.0
"24.5601699,46.7762684","24.8296182,46.616385",7 AM,41.1 km,55.0,77.2
"24.5601699,46.7762684","24.8296182,46.616385",7 AM,45.6 km,60.0,76.0
"24.5601699,46.7762684","24.8296182,46.616385",7 PM,41.1 km,55.0,60.0
"24.5601699,46.7762684","24.8296182,46.616385",7 PM,42.6 km,53.0,57.0
"24.5601699,46.7762684","24.8296182,46.616385",8 AM,41.1 km,55.666666666666664,75.33333333333333
"24.5601699,46.7762684","24.8296182,46.616385",8 AM,41.7 km,56.0,72.0
"24.5601699,46.7762684","24.8296182,46.616385",8 AM,46.8 km,60.0,76.0
"24.5601699,46.7762684","24.8296182,46.616385",9 AM,41.1 km,55.0,69.66666666666667
"24.5601699,46.7762684","24.8296182,46.616385",9 AM,41.8 km,57.0,66.0
"24.5601699,46.7762684","24.8296182,46.616385",9 AM,59.7 km,54.0,63.5
"24.5914692,46.5433147","24.7221189,46.8611355",1 PM,44.5 km,41.0,53.0
"24.5914692,46.5433147","24.7221189,46.8611355",1 PM,49.5 km,43.0,50.4
"24.5914692,46.5433147","24.7221189,46.8611355",10 AM,44.2 km,40.0,46.75
"24.5914692,46.5433147","24.7221189,46.8611355",2 PM,49.5 km,43.25,47.75
"24.5914692,46.5433147","24.7221189,46.8611355",3 PM,49.5 km,43.0,46.666666666666664
