line,station name,neighborhood,streets covered,coordinates,interchange train,interchange com bus,interchange rapid bus,parking availability 
Blue 11,SABB,Alaarid,King Fahad Rd,"24.8296182,46.616385",0,0,0,1
Blue 12,DR Suliman AlHabib,Alyasmin,King Fahad Rd,"24.8115662,46.6256973",0,0,0,0
Blue 13,KAFD,Alaqiq,King Fahad Rd,"24.7674375,46.6430625",1,1,0,0
Blue 14,Al Murooj,Almuruj,King Fahad Rd,"24.7548628,46.6542393",0,0,0,0
Blue 15,King Fahad District,King Fahd,King Fahad Rd,"24.7454666,46.6589932",0,0,0,0
Blue 16,King Fahad District 2,King Fahd,King Fahad Rd,"24.7369037,46.6633149",0,0,0,0
Blue 17,STC,Alwurud,King Fahad Rd,"24.7266373,46.6670073",1,1,0,0
Blue 18,Al Wurud 2,Alwurud,King Fahad Rd,"24.7218475,46.6709471",0,0,0,0
Blue 19,Al Urubah,Alwurud,King Fahad Rd,"24.715819,46.6731917",0,0,0,0
Blue 20,Alinama Bank,Alolaya,King Fahad Rd,"24.7019909,46.6809773",0,1,0,0
Blue 21,Bank Albilad,Alolaya,King Fahad Rd,"24.6965928,46.6843052",0,0,0,0
Blue 22,King Fahad Library,Alsulimaniyah,King Fahad Rd,"24.6895951,46.6872412",0,0,0,0
Blue 23,Ministry of Interior,Alolaya,King Fahad Rd,"24.6731693,46.6984896",0,0,0,0
Blue 24,Al Murabba,Almurabba,King Fahad Rd,"24.6644051,46.7024859",0,0,0,0
Blue 25,Passport Department,Almurabba,King Fahad Rd,"24.6591314,46.7044791",0,0,0,0
Blue 26,National Museum,Alfutah,King Fahad Rd,"24.6459853,46.7146782",1,1,0,0
Blue 27,Al Bat'ha,Alfutah,King Fahad Rd,"24.6383512,46.714876",0,0,0,0
Blue 28,Qasr Al Hokm,Alqari,King Fahad Rd,"24.6290566,46.7162845",1,1,0,1
Blue 29,Al Owd,Alowd,King Fahad Rd,"24.6256863,46.7214206",0,0,0,0
Blue 30,Skirinah,Manfouhah Aljadidah,King Fahad Rd,"24.617973,46.7248875",0,0,0,0
Blue 31,Manfouhah,Almansourah,King Fahad Rd,"24.6104719,46.7274351",0,0,1,0
Blue 32,Al Iman Hospital,Almansourah,King Fahad Rd,"24.6007002,46.73322",0,0,0,0
Blue 33,Transportaion Center,Alaziziyah,Southren Ring Rd,"24.5983885,46.7452355",0,1,0,0
Blue 34,Al Aziziah,Alaziziyah,Alshabab Rd,"24.587771, 46.760601",0,0,0,0
Blue 35,Ad Dar Al Baida,Ad Dar Albaida,Sayyid Qoutoup,"24.5601699,46.7762684",0,0,0,1
Red 11,King Saud University,Ash Shaikh Hasan Al Ash Shakh Rd,King Abdullad Rd,"24.7102105,46.6283024",0,0,0,0
Red 12,King Salman Oasis,Alraed,King Abdullad Rd,"24.7170267,46.6387647",0,1,0,0
Red 13,KACST,Alraed,King Abdullad Rd,"24.720537,46.6468294",0,0,0,0
Red 14,"At Takhassusi	",Almohammadiyyah,King Abdullad Rd,"24.7239982,46.6551566",0,1,0,0
Red 15,STC,Alwurud,King Abdullad Rd,"24.7266373,46.6670073",1,1,0,0
Red 16,Al Wurud,Alwurud,King Abdullad Rd,"24.7338111,46.6770549",0,0,0,0
Red 17,King Abdulaziz Road,Alwurud,King Abdullad Rd,"24.7368023,46.6855276",0,0,1,0
Red 18,Ministry of Education,King Salman,King Abdullad Rd,"24.7406772,46.6947625",1,0,0,0
Red 19,An Nuzhah,Alnuzhah,King Abdullad Rd,"24.748143,46.7135443",0,0,0,0
Red 20,Riyadh Exhibition Center,Almughrizat,King Abdullad Rd,"24.7543114,46.7264236",0,0,0,0
Red 21,Khalid Bin Alwaleed Road,Alquds,King Abdullad Rd,"24.7675135,46.7586481",0,1,1,1
Red 22,Al Hamra,Alhamra,King Abdullad Rd,"24.7764653,46.7764096",1,0,0,1
Red 23,Al Khaleej,Alkhaleej,King Abdullad Rd,"24.7817729,46.7938654",0,1,0,0
Red 24,City Centre Ishbiliyah,Ishbiliyah,King Abdullad Rd,"24.7878105,46.8012906",0,0,0,0
Red 25,King Fahad Stadium,Almaizilah,King Abdullad Rd,"24.7930073,46.8364015",0,0,0,1
Green 11,Ministry of Education, King Salman,Prince Nasir Ibn Farhan Al Saud Rd,"24.7406772,46.6947625",1,0,0,0
Green 12,Salahaddin, King Salman,King Abdulaziz Rd,"24.7319789,46.6905337",0,0,0,0
Green 13,As Sulimaniyah,Alsulimaniyah,King Abdulaziz Rd,"24.7129239,46.7000629",0,0,0,0
Green 14,Ad Dhabab,Alsulimaniyah,King Abdulaziz Rd,"24.7089346,46.7078862",0,0,1,0
Green 15,Abu Dhabi Square,Alsulimaniyah,King Abdulaziz Rd,"24.7064349,46.71683",0,1,1,0
Green 16,Officers Club,Alsulimaniyah,King Abdulaziz Rd,"24.6976242,46.7180357",0,1,0,0
Green 17,GOSI,Alwizarat,King Abdulaziz Rd,"24.6866249,46.718146",0,0,0,0
