,City,Datetime,TrafficIndexLive,JamsCount,JamsDelay,JamsLength,TrafficIndexWeekAgo,TravelTimeHistoric,TravelTimeLive,datetime,year,date,time
119578,Riyadh,2023-01-01 13:46:30,29,238,847.4,189.9,30.0,,,2023-01-01 13:46:30,2023,2023-01-01,13:46:30
119579,Riyadh,2023-01-01 14:46:30,37,255,1040.0,291.5,37.0,,,2023-01-01 14:46:30,2023,2023-01-01,14:46:30
119580,Riyadh,2023-01-01 15:01:30,41,255,1049.0,312.3,41.0,,,2023-01-01 15:01:30,2023,2023-01-01,15:01:30
119581,Riyadh,2023-01-01 16:46:00,56,416,2086.3,420.8,54.0,,,2023-01-01 16:46:00,2023,2023-01-01,16:46:00
119582,Riyadh,2023-01-01 17:31:00,64,462,2259.6,470.3,57.0,,,2023-01-01 17:31:00,2023,2023-01-01,17:31:00
119583,Riyadh,2023-01-01 18:01:00,58,396,1806.7,379.5,51.0,,,2023-01-01 18:01:00,2023,2023-01-01,18:01:00
119584,Riyadh,2023-01-01 19:01:00,47,288,1235.9,267.9,39.0,,,2023-01-01 19:01:00,2023,2023-01-01,19:01:00
119585,Riyadh,2023-01-01 20:16:30,35,253,1028.1,190.6,27.0,,,2023-01-01 20:16:30,2023,2023-01-01,20:16:30
119586,Riyadh,2023-01-01 21:01:30,31,198,762.9,141.5,24.0,,,2023-01-01 21:01:30,2023,2023-01-01,21:01:30
119602,Riyadh,2023-01-02 13:46:30,48,371,1512.3,365.1,34.0,,,2023-01-02 13:46:30,2023,2023-01-02,13:46:30
119603,Riyadh,2023-01-02 14:46:00,69,464,2299.0,540.0,41.0,,,2023-01-02 14:46:00,2023,2023-01-02,14:46:00
119604,Riyadh,2023-01-02 15:46:00,81,530,2891.8,647.6,43.0,,,2023-01-02 15:46:00,2023,2023-01-02,15:46:00
119605,Riyadh,2023-01-02 16:46:00,98,767,4410.2,773.6,55.0,,,2023-01-02 16:46:00,2023,2023-01-02,16:46:00
119606,Riyadh,2023-01-02 17:16:00,99,757,4493.8,761.2,58.0,,,2023-01-02 17:16:00,2023,2023-01-02,17:16:00
119607,Riyadh,2023-01-02 18:01:30,88,586,3163.0,587.4,53.0,,,2023-01-02 18:01:30,2023,2023-01-02,18:01:30
