City,Datetime,TrafficIndexLive,JamsCount,JamsDelay,JamsLength,TrafficIndexWeekAgo,TravelTimeHistoric,TravelTimeLive,datetime,year,date,time
Riyadh,2024-06-10 00:01:30,25,109,341.9,102.3,21.0,70.0089094425143,76.8581124554314,2024-06-10 00:01:30,2024,2024-06-10,00:01:30
Riyadh,2024-06-10 01:01:30,12,47,153.3,17.9,10.0,65.5721672819139,67.7089862632582,2024-06-10 01:01:30,2024,2024-06-10,01:01:30
Riyadh,2024-06-10 02:01:30,5,22,59.8,7.5,5.0,63.2964087817941,62.2870241814468,2024-06-10 02:01:30,2024,2024-06-10,02:01:30
Riyadh,2024-06-10 03:01:30,2,19,55.8,5.8,2.0,60.7658975289378,59.1269471215626,2024-06-10 03:01:30,2024,2024-06-10,03:01:30
Riyadh,2024-06-10 04:01:30,1,9,20.5,2.2,0.0,57.8737944083556,56.3564482961124,2024-06-10 04:01:30,2024,2024-06-10,04:01:30
Riyadh,2024-06-10 05:01:30,0,12,58.5,3.3,0.0,56.1875540567586,54.5882157955065,2024-06-10 05:01:30,2024,2024-06-10,05:01:30
Riyadh,2024-06-10 06:46:00,3,30,84.1,23.1,9.0,70.0198493534517,58.481763323302,2024-06-10 06:46:00,2024,2024-06-10,06:46:00
Riyadh,2024-06-10 07:46:30,14,84,274.5,108.5,20.0,79.6070391251243,66.3932542493854,2024-06-10 07:46:30,2024,2024-06-10,07:46:30
Riyadh,2024-06-10 08:46:30,27,118,483.2,147.7,33.0,78.8869071485082,74.7929993751014,2024-06-10 08:46:30,2024,2024-06-10,08:46:30
Riyadh,2024-06-10 09:16:00,30,133,527.8,158.6,46.0,78.7900138110924,77.2992870129529,2024-06-10 09:16:00,2024,2024-06-10,09:16:00
Riyadh,2024-06-10 10:01:30,30,173,733.4,186.0,46.0,76.4842857189517,77.048590852234,2024-06-10 10:01:30,2024,2024-06-10,10:01:30
Riyadh,2024-06-10 11:01:30,25,164,653.7,149.3,35.0,72.5089117163962,73.8499482568738,2024-06-10 11:01:30,2024,2024-06-10,11:01:30
Riyadh,2024-06-10 12:01:30,20,130,501.3,114.7,26.0,72.4801127604385,70.893437027159,2024-06-10 12:01:30,2024,2024-06-10,12:01:30
Riyadh,2024-06-10 13:01:30,16,99,339.7,79.3,19.0,73.4547859702992,68.5016698620848,2024-06-10 13:01:30,2024,2024-06-10,13:01:30
Riyadh,2024-06-10 14:46:30,20,99,353.0,121.9,25.0,76.6631451673095,70.4966432065617,2024-06-10 14:46:30,2024,2024-06-10,14:46:30
Riyadh,2024-06-10 15:31:30,24,116,462.6,136.1,31.0,80.2517607155632,73.496134028681,2024-06-10 15:31:30,2024,2024-06-10,15:31:30
