,City,Datetime,TrafficIndexLive,JamsCount,JamsDelay,JamsLength,TrafficIndexWeekAgo,TravelTimeHistoric,TravelTimeLive,datetime,year,date,time
128159,Riyadh,2024-01-01 06:46:30,26,190,731.4,191.5,30.0,75.3701810841818,79.0948282749294,2024-01-01 06:46:30,2024,2024-01-01,06:46:30
128160,Riyadh,2024-01-01 07:46:30,45,256,1038.8,264.7,56.0,81.9105500008139,91.4849690297357,2024-01-01 07:46:30,2024,2024-01-01,07:46:30
128161,Riyadh,2024-01-01 08:01:30,43,203,831.2,227.7,55.0,81.1543917618592,88.7477280565774,2024-01-01 08:01:30,2024,2024-01-01,08:01:30
128162,Riyadh,2024-01-01 09:01:30,26,113,427.2,125.8,39.0,78.7059895960774,76.2346440932565,2024-01-01 09:01:30,2024,2024-01-01,09:01:30
128163,Riyadh,2024-01-01 10:01:30,19,115,390.5,98.4,28.0,76.9145900929243,71.2906383496672,2024-01-01 10:01:30,2024,2024-01-01,10:01:30
128183,Riyadh,2024-01-02 06:46:30,24,197,722.9,186.3,26.0,75.0634748949011,77.4285406538796,2024-01-02 06:46:30,2024,2024-01-02,06:46:30
128184,Riyadh,2024-01-02 07:46:30,44,229,1017.6,246.1,48.0,80.8398453849222,90.9355563252698,2024-01-02 07:46:30,2024,2024-01-02,07:46:30
128185,Riyadh,2024-01-02 08:01:30,42,200,848.5,209.9,46.0,80.0949817548667,88.3044420503491,2024-01-02 08:01:30,2024,2024-01-02,08:01:30
128186,Riyadh,2024-01-02 09:01:30,27,112,427.4,129.8,29.0,77.809955817499,76.7811326633402,2024-01-02 09:01:30,2024,2024-01-02,09:01:30
128187,Riyadh,2024-01-02 10:01:30,22,131,449.5,118.0,23.0,76.504677166909,73.4750303481086,2024-01-02 10:01:30,2024,2024-01-02,10:01:30
128207,Riyadh,2024-01-03 06:46:30,26,171,689.5,194.5,24.0,73.8286085679943,79.0095001163627,2024-01-03 06:46:30,2024,2024-01-03,06:46:30
128208,Riyadh,2024-01-03 07:46:30,44,236,993.5,260.7,43.0,79.0236561157999,90.5030482622709,2024-01-03 07:46:30,2024,2024-01-03,07:46:30
128209,Riyadh,2024-01-03 08:01:30,43,205,822.0,230.8,40.0,78.0390503772973,88.3101839120105,2024-01-03 08:01:30,2024,2024-01-03,08:01:30
128210,Riyadh,2024-01-03 09:01:30,28,123,459.5,145.5,26.0,75.8977323685499,77.2702385463458,2024-01-03 09:01:30,2024,2024-01-03,09:01:30
128211,Riyadh,2024-01-03 10:01:30,24,108,409.3,133.4,23.0,75.3526657409007,75.100420114577,2024-01-03 10:01:30,2024,2024-01-03,10:01:30
128471,Riyadh,2024-01-14 06:46:30,26,181,822.8,207.1,7.0,74.2845897174833,78.3909808619474,2024-01-14 06:46:30,2024,2024-01-14,06:46:30
128472,Riyadh,2024-01-14 07:46:30,53,283,1459.8,314.5,13.0,80.5453006815909,95.7371401494276,2024-01-14 07:46:30,2024,2024-01-14,07:46:30
128473,Riyadh,2024-01-14 08:01:30,55,282,1405.8,302.8,17.0,80.1438076700437,96.1593425745412,2024-01-14 08:01:30,2024,2024-01-14,08:01:30
128474,Riyadh,2024-01-14 09:01:30,44,210,941.8,231.7,20.0,77.9722525087033,88.2300810877324,2024-01-14 09:01:30,2024,2024-01-14,09:01:30
128475,Riyadh,2024-01-14 10:01:30,37,163,728.0,185.0,20.0,75.7528934507142,82.778606293771,2024-01-14 10:01:30,2024,2024-01-14,10:01:30
128495,Riyadh,2024-01-15 06:46:30,27,210,890.2,219.7,5.0,75.6110681012396,79.8147079197027,2024-01-15 06:46:30,2024,2024-01-15,06:46:30
128496,Riyadh,2024-01-15 07:46:00,56,365,1702.8,357.6,16.0,81.6977456815284,99.0761417192987,2024-01-15 07:46:00,2024,2024-01-15,07:46:00
128497,Riyadh,2024-01-15 08:01:30,57,330,1644.4,344.1,20.0,81.1509837737226,98.6783423007842,2024-01-15 08:01:30,2024,2024-01-15,08:01:30
128498,Riyadh,2024-01-15 09:01:30,47,231,1014.7,246.6,23.0,78.7761746607368,89.9529427086044,2024-01-15 09:01:30,2024,2024-01-15,09:01:30
128499,Riyadh,2024-01-15 10:01:30,36,191,776.4,191.3,22.0,76.9013341384217,82.6204922275312,2024-01-15 10:01:30,2024,2024-01-15,10:01:30
128519,Riyadh,2024-01-16 06:46:30,29,222,906.3,220.8,3.0,75.2151922029868,80.3655419231546,2024-01-16 06:46:30,2024,2024-01-16,06:46:30
128520,Riyadh,2024-01-16 07:46:30,56,387,1782.2,371.1,12.0,80.9501682769807,98.6088793236379,2024-01-16 07:46:30,2024,2024-01-16,07:46:30
128521,Riyadh,2024-01-16 08:01:30,57,307,1558.9,328.8,18.0,80.1440617480823,98.047669162112,2024-01-16 08:01:30,2024,2024-01-16,08:01:30
128522,Riyadh,2024-01-16 09:01:30,48,207,1015.3,239.3,22.0,77.8850725710502,90.0030223227326,2024-01-16 09:01:30,2024,2024-01-16,09:01:30
128523,Riyadh,2024-01-16 10:01:30,40,187,798.6,206.8,21.0,76.2360474555333,84.293170003491,2024-01-16 10:01:30,2024,2024-01-16,10:01:30
128543,Riyadh,2024-01-17 06:46:30,26,187,785.2,197.8,3.0,73.6410768883353,78.4029479585145,2024-01-17 06:46:30,2024,2024-01-17,06:46:30
128544,Riyadh,2024-01-17 07:46:30,53,340,1549.4,329.6,13.0,79.2971054301368,96.2813966991682,2024-01-17 07:46:30,2024,2024-01-17,07:46:30
128545,Riyadh,2024-01-17 08:01:30,53,286,1370.7,297.4,17.0,78.6302147792471,95.6023146258023,2024-01-17 08:01:30,2024,2024-01-17,08:01:30
128546,Riyadh,2024-01-17 09:01:30,42,196,877.8,221.7,22.0,76.0521706381708,86.4675665270238,2024-01-17 09:01:30,2024,2024-01-17,09:01:30
128547,Riyadh,2024-01-17 10:01:30,35,156,697.1,174.7,22.0,74.733078703606,81.0696022348934,2024-01-17 10:01:30,2024,2024-01-17,10:01:30
128567,Riyadh,2024-01-18 06:46:30,23,156,639.9,175.4,1.0,70.3291270776831,75.6222781360325,2024-01-18 06:46:30,2024,2024-01-18,06:46:30
128568,Riyadh,2024-01-18 07:46:30,42,248,1074.3,253.7,8.0,74.1811790433879,88.4169113733461,2024-01-18 07:46:30,2024,2024-01-18,07:46:30
128569,Riyadh,2024-01-18 08:01:30,41,203,876.2,217.7,13.0,73.4663134364965,86.5610137094608,2024-01-18 08:01:30,2024,2024-01-18,08:01:30
128570,Riyadh,2024-01-18 09:01:30,31,135,576.1,156.6,17.0,71.8305918452244,78.7735974699545,2024-01-18 09:01:30,2024,2024-01-18,09:01:30
128571,Riyadh,2024-01-18 10:01:30,26,124,485.4,130.1,17.0,72.3799414508743,75.4399620776986,2024-01-18 10:01:30,2024,2024-01-18,10:01:30
128591,Riyadh,2024-01-19 06:01:30,0,10,35.5,5.1,0.0,56.8858108932685,55.3114463678282,2024-01-19 06:01:30,2024,2024-01-19,06:01:30
128592,Riyadh,2024-01-19 07:01:30,0,11,39.9,6.1,0.0,56.2977298147311,54.7521977930008,2024-01-19 07:01:30,2024,2024-01-19,07:01:30
128593,Riyadh,2024-01-19 08:01:30,0,12,44.7,6.2,0.0,56.3325114640594,54.744485130677,2024-01-19 08:01:30,2024,2024-01-19,08:01:30
128594,Riyadh,2024-01-19 09:46:30,1,19,74.4,9.0,0.0,58.1004791369021,56.9325072637182,2024-01-19 09:46:30,2024,2024-01-19,09:46:30
128595,Riyadh,2024-01-19 10:31:30,1,22,82.3,8.1,0.0,57.9108365381182,56.7810517256189,2024-01-19 10:31:30,2024,2024-01-19,10:31:30
128615,Riyadh,2024-01-20 06:16:30,2,15,78.6,12.0,2.0,57.3392745482336,56.3401001963732,2024-01-20 06:16:30,2024,2024-01-20,06:16:30
128616,Riyadh,2024-01-20 07:01:30,2,24,108.5,17.4,1.0,57.7578529839845,57.0314603296362,2024-01-20 07:01:30,2024,2024-01-20,07:01:30
128617,Riyadh,2024-01-20 08:46:30,4,28,99.5,17.8,3.0,60.6260965957216,59.063960296075,2024-01-20 08:46:30,2024,2024-01-20,08:46:30
128618,Riyadh,2024-01-20 09:46:30,8,62,228.9,44.3,7.0,63.2449564987695,62.1994401348077,2024-01-20 09:46:30,2024,2024-01-20,09:46:30
