,City,Datetime,TrafficIndexLive,JamsCount,JamsDelay,JamsLength,TrafficIndexWeekAgo,TravelTimeHistoric,TravelTimeLive,datetime,year,date,time
119859,Riyadh,2023-01-13 06:01:30,0,8,17.2,2.1,20.0,,,2023-01-13 06:01:30,2023,2023-01-13,06:01:30
119860,Riyadh,2023-01-13 07:01:30,0,12,38.4,3.4,17.0,,,2023-01-13 07:01:30,2023,2023-01-13,07:01:30
119861,Riyadh,2023-01-13 08:01:30,0,16,47.1,6.6,15.0,,,2023-01-13 08:01:30,2023,2023-01-13,08:01:30
119862,Riyadh,2023-01-13 09:01:30,0,8,36.1,3.6,10.0,,,2023-01-13 09:01:30,2023,2023-01-13,09:01:30
119863,Riyadh,2023-01-13 10:01:30,0,15,63.4,10.6,7.0,,,2023-01-13 10:01:30,2023,2023-01-13,10:01:30
119883,Riyadh,2023-01-14 06:16:30,6,10,58.8,10.3,4.0,,,2023-01-14 06:16:30,2023,2023-01-14,06:16:30
119884,Riyadh,2023-01-14 07:01:30,6,17,84.6,14.6,2.0,,,2023-01-14 07:01:30,2023,2023-01-14,07:01:30
119885,Riyadh,2023-01-14 08:31:30,5,16,54.0,7.2,4.0,,,2023-01-14 08:31:30,2023,2023-01-14,08:31:30
119886,Riyadh,2023-01-14 09:46:30,8,37,103.4,20.9,7.0,,,2023-01-14 09:46:30,2023,2023-01-14,09:46:30
119887,Riyadh,2023-01-14 10:46:30,12,78,288.6,58.6,9.0,,,2023-01-14 10:46:30,2023,2023-01-14,10:46:30
119907,Riyadh,2023-01-15 06:46:30,8,26,116.5,43.1,27.0,,,2023-01-15 06:46:30,2023,2023-01-15,06:46:30
119908,Riyadh,2023-01-15 07:46:30,17,66,247.6,92.9,60.0,,,2023-01-15 07:46:30,2023,2023-01-15,07:46:30
119909,Riyadh,2023-01-15 08:46:30,21,67,267.8,102.0,62.0,,,2023-01-15 08:46:30,2023,2023-01-15,08:46:30
119910,Riyadh,2023-01-15 09:46:30,34,106,441.1,187.6,46.0,,,2023-01-15 09:46:30,2023,2023-01-15,09:46:30
119911,Riyadh,2023-01-15 10:01:30,33,107,442.9,162.1,33.0,,,2023-01-15 10:01:30,2023,2023-01-15,10:01:30
120819,Riyadh,2023-02-22 06:01:30,0,8,49.5,3.3,22.0,57.1100364830282,54.1491354801552,2023-02-22 06:01:30,2023,2023-02-22,06:01:30
120820,Riyadh,2023-02-22 07:01:30,0,12,38.1,5.2,41.0,64.0509895477322,53.6997882471282,2023-02-22 07:01:30,2023,2023-02-22,07:01:30
