,City,Datetime,TrafficIndexLive,JamsCount,JamsDelay,JamsLength,TrafficIndexWeekAgo,TravelTimeHistoric,TravelTimeLive,datetime,year,date,time
119866,Riyadh,2023-01-13 13:46:30,8,78,318.4,57.5,14.0,,,2023-01-13 13:46:30,2023,2023-01-13,13:46:30
119867,Riyadh,2023-01-13 14:46:30,13,95,405.8,94.9,27.0,,,2023-01-13 14:46:30,2023,2023-01-13,14:46:30
119868,Riyadh,2023-01-13 15:01:30,13,104,439.2,94.7,41.0,,,2023-01-13 15:01:30,2023,2023-01-13,15:01:30
119869,Riyadh,2023-01-13 16:46:00,22,204,900.2,170.5,50.0,,,2023-01-13 16:46:00,2023,2023-01-13,16:46:00
119870,Riyadh,2023-01-13 17:31:30,26,211,963.8,179.3,53.0,,,2023-01-13 17:31:30,2023,2023-01-13,17:31:30
119871,Riyadh,2023-01-13 18:46:30,28,205,918.6,194.7,46.0,,,2023-01-13 18:46:30,2023,2023-01-13,18:46:30
119872,Riyadh,2023-01-13 19:01:30,29,210,901.1,195.7,40.0,,,2023-01-13 19:01:30,2023,2023-01-13,19:01:30
119873,Riyadh,2023-01-13 20:31:00,33,224,941.4,197.4,32.0,,,2023-01-13 20:31:00,2023,2023-01-13,20:31:00
119874,Riyadh,2023-01-13 21:01:30,34,231,921.9,196.0,31.0,,,2023-01-13 21:01:30,2023,2023-01-13,21:01:30
119890,Riyadh,2023-01-14 13:46:30,17,100,361.0,93.9,16.0,,,2023-01-14 13:46:30,2023,2023-01-14,13:46:30
119891,Riyadh,2023-01-14 14:46:30,32,141,530.6,221.9,19.0,,,2023-01-14 14:46:30,2023,2023-01-14,14:46:30
119892,Riyadh,2023-01-14 15:16:30,35,165,656.0,227.1,23.0,,,2023-01-14 15:16:30,2023,2023-01-14,15:16:30
119893,Riyadh,2023-01-14 16:46:00,42,299,1203.7,310.3,42.0,,,2023-01-14 16:46:00,2023,2023-01-14,16:46:00
119894,Riyadh,2023-01-14 17:31:30,43,323,1297.3,322.7,47.0,,,2023-01-14 17:31:30,2023,2023-01-14,17:31:30
119895,Riyadh,2023-01-14 18:46:30,42,272,1113.3,273.3,45.0,,,2023-01-14 18:46:30,2023,2023-01-14,18:46:30
119896,Riyadh,2023-01-14 19:01:30,41,262,1111.3,270.2,44.0,,,2023-01-14 19:01:30,2023,2023-01-14,19:01:30
119897,Riyadh,2023-01-14 20:01:30,34,237,844.4,210.1,37.0,,,2023-01-14 20:01:30,2023,2023-01-14,20:01:30
119898,Riyadh,2023-01-14 21:01:00,30,182,657.4,149.3,33.0,,,2023-01-14 21:01:00,2023,2023-01-14,21:01:00
119914,Riyadh,2023-01-15 13:46:30,22,112,445.9,135.8,38.0,,,2023-01-15 13:46:30,2023,2023-01-15,13:46:30
119915,Riyadh,2023-01-15 14:46:30,31,216,847.4,239.5,46.0,,,2023-01-15 14:46:30,2023,2023-01-15,14:46:30
119916,Riyadh,2023-01-15 15:16:30,36,218,904.7,243.3,47.0,,,2023-01-15 15:16:30,2023,2023-01-15,15:16:30
119917,Riyadh,2023-01-15 16:46:00,57,416,2009.5,449.2,59.0,,,2023-01-15 16:46:00,2023,2023-01-15,16:46:00
119918,Riyadh,2023-01-15 17:46:00,66,452,2239.5,451.1,66.0,,,2023-01-15 17:46:00,2023,2023-01-15,17:46:00
119919,Riyadh,2023-01-15 18:01:00,62,381,1872.9,395.1,62.0,,,2023-01-15 18:01:00,2023,2023-01-15,18:01:00
119920,Riyadh,2023-01-15 19:01:00,55,336,1590.5,348.2,52.0,,,2023-01-15 19:01:00,2023,2023-01-15,19:01:00
119921,Riyadh,2023-01-15 20:31:30,43,270,1039.8,270.6,35.0,,,2023-01-15 20:31:30,2023,2023-01-15,20:31:30
119922,Riyadh,2023-01-15 21:01:30,42,234,933.1,229.7,28.0,,,2023-01-15 21:01:30,2023,2023-01-15,21:01:30
120826,Riyadh,2023-02-22 13:46:30,8,41,144.4,37.3,25.0,70.1701908992283,63.3853064852415,2023-02-22 13:46:30,2023,2023-02-22,13:46:30
120827,Riyadh,2023-02-22 14:31:30,9,50,179.2,38.7,31.0,71.3423408682634,64.3371425011601,2023-02-22 14:31:30,2023,2023-02-22,14:31:30
120828,Riyadh,2023-02-22 15:31:30,11,57,153.0,58.2,35.0,74.4855178782161,65.6626038713173,2023-02-22 15:31:30,2023,2023-02-22,15:31:30
120829,Riyadh,2023-02-22 16:46:30,23,174,678.5,150.5,45.0,84.3786534879794,76.6405175560121,2023-02-22 16:46:30,2023,2023-02-22,16:46:30
120830,Riyadh,2023-02-22 17:46:30,36,255,1124.6,221.7,54.0,88.5711484456385,85.2541305232301,2023-02-22 17:46:30,2023,2023-02-22,17:46:30
120831,Riyadh,2023-02-22 18:01:30,37,247,1085.3,219.2,52.0,87.6466944654394,85.6606747776172,2023-02-22 18:01:30,2023,2023-02-22,18:01:30
120832,Riyadh,2023-02-22 19:46:30,49,289,1553.8,239.8,39.0,80.6741679369187,93.3248653271983,2023-02-22 19:46:30,2023,2023-02-22,19:46:30
120833,Riyadh,2023-02-22 20:46:30,57,384,2521.5,312.5,31.0,80.9790720404445,99.2347847779005,2023-02-22 20:46:30,2023,2023-02-22,20:46:30
120834,Riyadh,2023-02-22 21:46:30,64,415,2991.0,332.9,32.0,79.4180113505341,103.725305552631,2023-02-22 21:46:30,2023,2023-02-22,21:46:30
120850,Riyadh,2023-02-23 13:31:30,9,41,119.8,29.9,27.0,71.4124910382538,63.9687178950422,2023-02-23 13:31:30,2023,2023-02-23,13:31:30
120851,Riyadh,2023-02-23 14:46:30,11,57,147.6,51.5,39.0,74.2787205751682,65.3015792150652,2023-02-23 14:46:30,2023,2023-02-23,14:46:30
120852,Riyadh,2023-02-23 15:46:30,15,50,178.1,66.4,45.0,78.1109397724734,68.0682837076787,2023-02-23 15:46:30,2023,2023-02-23,15:46:30
120853,Riyadh,2023-02-23 16:46:30,25,178,621.4,180.9,51.0,85.9953693349785,77.0009287249037,2023-02-23 16:46:30,2023,2023-02-23,16:46:30
120854,Riyadh,2023-02-23 17:46:30,34,272,963.8,230.8,59.0,89.8517517376165,83.3257061744028,2023-02-23 17:46:30,2023,2023-02-23,17:46:30
120855,Riyadh,2023-02-23 18:01:30,33,249,904.7,223.8,58.0,89.0218351202779,82.5670397516988,2023-02-23 18:01:30,2023,2023-02-23,18:01:30
120856,Riyadh,2023-02-23 19:31:30,30,204,733.0,181.9,44.0,82.8348041854653,80.0651302477988,2023-02-23 19:31:30,2023,2023-02-23,19:31:30
120857,Riyadh,2023-02-23 20:46:30,32,219,859.3,199.7,39.0,84.984422564976,82.5501090398586,2023-02-23 20:46:30,2023,2023-02-23,20:46:30
120858,Riyadh,2023-02-23 21:31:30,35,192,823.1,188.6,40.0,84.8513114110728,83.7184450800552,2023-02-23 21:31:30,2023,2023-02-23,21:31:30
120874,Riyadh,2023-02-24 13:01:30,6,38,130.9,16.2,8.0,65.9044978879131,65.5719783769413,2023-02-24 13:01:30,2023,2023-02-24,13:01:30
120875,Riyadh,2023-02-24 14:01:30,4,45,137.1,21.5,10.0,62.2242534340007,60.8577645888781,2023-02-24 14:01:30,2023,2023-02-24,14:01:30
120876,Riyadh,2023-02-24 15:46:30,6,48,171.9,28.5,10.0,63.9231568933284,61.6803587703188,2023-02-24 15:46:30,2023,2023-02-24,15:46:30
120877,Riyadh,2023-02-24 16:46:30,13,116,495.1,92.2,19.0,70.7969966751292,69.0119496849719,2023-02-24 16:46:30,2023,2023-02-24,16:46:30
120878,Riyadh,2023-02-24 17:46:30,19,134,589.0,103.2,24.0,74.1663811436819,73.2550181779177,2023-02-24 17:46:30,2023,2023-02-24,17:46:30
120879,Riyadh,2023-02-24 18:01:30,18,137,580.2,95.8,24.0,74.2144595545706,72.7182824644759,2023-02-24 18:01:30,2023,2023-02-24,18:01:30
120880,Riyadh,2023-02-24 19:31:00,22,139,556.4,120.2,24.0,76.3445281565587,75.1633438230343,2023-02-24 19:31:00,2023,2023-02-24,19:31:00
120881,Riyadh,2023-02-24 20:46:30,27,177,645.6,146.3,30.0,80.2985725233081,78.7022388383757,2023-02-24 20:46:30,2023,2023-02-24,20:46:30
120882,Riyadh,2023-02-24 21:16:30,29,150,590.8,159.0,34.0,81.1466856603168,80.1287164569915,2023-02-24 21:16:30,2023,2023-02-24,21:16:30
120898,Riyadh,2023-02-25 13:31:30,9,46,168.2,40.4,14.0,63.9544740959059,63.8874886660421,2023-02-25 13:31:30,2023,2023-02-25,13:31:30
120899,Riyadh,2023-02-25 14:01:30,10,47,135.2,37.6,15.0,64.2581383597117,64.2016621818729,2023-02-25 14:01:30,2023,2023-02-25,14:01:30
120900,Riyadh,2023-02-25 15:46:30,13,62,193.7,71.3,18.0,67.0601341632552,66.1704806031974,2023-02-25 15:46:30,2023,2023-02-25,15:46:30
120901,Riyadh,2023-02-25 16:46:30,23,174,659.4,171.5,31.0,76.2117381927859,75.9140693329575,2023-02-25 16:46:30,2023,2023-02-25,16:46:30
120902,Riyadh,2023-02-25 17:31:30,29,225,883.3,212.0,37.0,79.2486201973599,80.0280621697843,2023-02-25 17:31:30,2023,2023-02-25,17:31:30
120903,Riyadh,2023-02-25 18:01:30,28,222,811.1,194.8,37.0,79.3230788278256,78.922027015573,2023-02-25 18:01:30,2023,2023-02-25,18:01:30
120904,Riyadh,2023-02-25 19:01:30,24,162,587.0,143.6,32.0,77.8484062108945,75.9818342966007,2023-02-25 19:01:30,2023,2023-02-25,19:01:30
