,City,Datetime,TrafficIndexLive,JamsCount,JamsDelay,JamsLength,TrafficIndexWeekAgo,TravelTimeHistoric,TravelTimeLive,datetime,year,date,time,hour,TomTomEquivalent,Color
0,Riyadh,2023-01-01 06:46:30,25,136,538.6,173.7,25.0,,,2023-01-01 06:46:30,2023,2023-01-01,06:46:30,6.0,1.2403846153846154,orange
1,Riyadh,2023-01-01 07:46:30,49,255,1170.2,278.5,54.0,,,2023-01-01 07:46:30,2023,2023-01-01,07:46:30,7.0,1.4711538461538463,orange
2,Riyadh,2023-01-01 08:01:30,48,217,990.4,243.6,54.0,,,2023-01-01 08:01:30,2023,2023-01-01,08:01:30,8.0,1.4615384615384617,orange
3,Riyadh,2023-01-01 09:16:30,33,123,485.0,173.5,34.0,,,2023-01-01 09:16:30,2023,2023-01-01,09:16:30,9.0,1.3173076923076923,orange
4,Riyadh,2023-01-01 10:01:30,25,105,381.7,132.5,23.0,,,2023-01-01 10:01:30,2023,2023-01-01,10:01:30,10.0,1.2403846153846154,orange
5,Riyadh,2023-01-02 06:46:30,34,172,850.5,269.0,26.0,,,2023-01-02 06:46:30,2023,2023-01-02,06:46:30,6.0,1.3269230769230769,orange
6,Riyadh,2023-01-02 07:46:30,76,413,2310.7,484.7,52.0,,,2023-01-02 07:46:30,2023,2023-01-02,07:46:30,7.0,1.7307692307692308,red
7,Riyadh,2023-01-02 08:16:30,82,344,2026.5,452.1,52.0,,,2023-01-02 08:16:30,2023,2023-01-02,08:16:30,8.0,1.7884615384615383,red
8,Riyadh,2023-01-02 09:01:30,70,267,1280.7,347.1,31.0,,,2023-01-02 09:01:30,2023,2023-01-02,09:01:30,9.0,1.6730769230769231,red
9,Riyadh,2023-01-02 10:01:30,45,168,715.6,200.7,22.0,,,2023-01-02 10:01:30,2023,2023-01-02,10:01:30,10.0,1.4326923076923077,orange
10,Riyadh,2023-01-03 06:46:30,27,42,170.5,121.5,24.0,,,2023-01-03 06:46:30,2023,2023-01-03,06:46:30,6.0,1.2596153846153846,orange
11,Riyadh,2023-01-03 07:46:30,35,79,378.1,168.5,50.0,,,2023-01-03 07:46:30,2023,2023-01-03,07:46:30,7.0,1.3365384615384617,orange
12,Riyadh,2023-01-03 08:01:30,35,87,410.2,142.1,49.0,,,2023-01-03 08:01:30,2023,2023-01-03,08:01:30,8.0,1.3365384615384617,orange
13,Riyadh,2023-01-03 09:46:30,28,86,381.5,143.8,31.0,,,2023-01-03 09:46:30,2023,2023-01-03,09:46:30,9.0,1.2692307692307692,orange
14,Riyadh,2023-01-03 10:46:30,30,111,434.5,173.6,24.0,,,2023-01-03 10:46:30,2023,2023-01-03,10:46:30,10.0,1.2884615384615383,orange
15,Riyadh,2023-01-04 06:46:30,15,30,92.4,55.7,24.0,,,2023-01-04 06:46:30,2023,2023-01-04,06:46:30,6.0,1.1442307692307692,orange
16,Riyadh,2023-01-04 07:46:00,23,63,235.3,103.6,49.0,,,2023-01-04 07:46:00,2023,2023-01-04,07:46:00,7.0,1.2211538461538463,orange
17,Riyadh,2023-01-04 08:01:30,24,69,255.8,106.3,48.0,,,2023-01-04 08:01:30,2023,2023-01-04,08:01:30,8.0,1.2307692307692308,orange
18,Riyadh,2023-01-04 09:01:30,21,68,249.2,76.7,30.0,,,2023-01-04 09:01:30,2023,2023-01-04,09:01:30,9.0,1.2019230769230769,orange
19,Riyadh,2023-01-04 10:01:30,18,82,242.5,78.7,23.0,,,2023-01-04 10:01:30,2023,2023-01-04,10:01:30,10.0,1.1730769230769231,orange
20,Riyadh,2023-01-05 06:46:30,17,47,195.4,92.9,18.0,,,2023-01-05 06:46:30,2023,2023-01-05,06:46:30,6.0,1.1634615384615385,orange
